Advertiser,Date,Impressions,Clicks,CTR (in %)
Syscox,2016-02-01,21365,268,1.25
Syscox,2016-02-02,19501,382,1.96
Syscox,2016-02-03,22188,367,1.65
Syscox,2016-02-04,19720,332,1.68
Syscox,2016-02-05,18401,253,1.37
Syscox,2016-02-06,18046,242,1.34
Syscox,2016-02-07,15839,214,1.35
Syscox,2016-02-08,14945,196,1.31
Syscox,2016-02-09,17390,354,2.04
Syscox,2016-02-10,18086,343,1.9
Syscox,2016-02-11,24317,413,1.7
Syscox,2016-02-12,23437,354,1.51
Syscox,2016-02-13,21449,409,1.91
Syscox,2016-02-14,18490,364,1.97
Syscox,2016-02-15,17080,271,1.59
Syscox,2016-02-16,23184,458,1.98
Syscox,2016-02-17,22954,345,1.5
Syscox,2016-02-18,21249,371,1.75
Syscox,2016-02-19,21240,269,1.27
Syscox,2016-02-20,19399,309,1.59
Syscox,2016-02-21,16710,298,1.78
Syscox,2016-02-22,15505,273,1.76
Syscox,2016-02-23,19338,511,2.64
Syscox,2016-02-24,17959,436,2.43
Syscox,2016-02-25,18239,424,2.32
Syscox,2016-02-26,14414,323,2.24
Syscox,2016-02-27,13446,205,1.52
Syscox,2016-02-28,10643,176,1.65
Syscox,2016-02-29,11354,218,1.92
Naparos,2016-02-01,27115,100,0.37
Naparos,2016-02-02,28022,154,0.55
Naparos,2016-02-03,22428,176,0.78
Naparos,2016-02-04,24401,190,0.78
Naparos,2016-02-05,23799,121,0.51
Naparos,2016-02-06,57097,153,0.27
Naparos,2016-02-07,54290,138,0.25
Naparos,2016-02-08,38045,122,0.32
Naparos,2016-02-09,24133,129,0.53
Naparos,2016-02-10,23378,147,0.63
Naparos,2016-02-11,27134,156,0.57
Naparos,2016-02-12,24809,144,0.58
Naparos,2016-02-13,26000,103,0.4
Naparos,2016-02-14,24670,134,0.54
Naparos,2016-02-15,20847,70,0.34
Naparos,2016-02-16,56739,189,0.33
Naparos,2016-02-17,45167,129,0.29
Naparos,2016-02-18,44584,122,0.27
Naparos,2016-02-19,46565,104,0.22
Naparos,2016-02-20,44354,105,0.24
Naparos,2016-02-21,41131,98,0.24
Naparos,2016-02-22,28840,75,0.26
Naparos,2016-02-23,17523,110,0.63
Naparos,2016-02-24,19879,87,0.44
Naparos,2016-02-25,19227,102,0.53
Naparos,2016-02-26,22148,45,0.2
Naparos,2016-02-27,33294,39,0.12
Naparos,2016-02-28,16031,33,0.21
Naparos,2016-02-29,13327,43,0.32
